id,a1,a2,a3,a4,A1,a5,a6,a7,a8,A2,a9,a10,a11,a12,a13,A3,a14,a15,a16,a17,a18,A4,a,b1,b2,b3,b4,b5,b6,b7,b8,B,c1,c2,c3,c4,c5,c6,C,d1,d2,d3,d4,D1,d5,d6,d7,d8,d9,D2,d10,d11,d12,d13,D3,d14,d15,d16,d17,D4,d,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e
84,3,3,2,3,2.75,4,4,5,5,4.5,4,4,4,5,5,4.4,5,5,5,5,5,5,4.22,5,5,4,3,3,2,4,4,3.75,4,4,4,5,5,5,4.5,4,5,5,4,4.5,5,4,5,5,5,4.8,4,4,5,4,4.25,4,3,3,3,3.25,4.24,2,2,3,1,3,1,1,1,7,1,2.2
85,4,4,5,5,4.5,4,4,5,5,4.5,4,4,4,5,5,4.4,5,5,5,5,5,5,4.61,5,5,4,4,4,4,5,5,4.5,4,3,4,4,5,5,4.17,5,5,5,5,5,4,4,5,5,5,4.6,4,4,5,5,4.5,4,4,3,4,3.75,4.47,2,2,3,3,3,3,1,1,1,1,2
86,3,3,3,3,3,4,4,4,3,3.75,4,4,4,4,5,4.2,4,4,4,4,4,4,3.78,5,5,3,3,3,3,3,3,3.5,3,4,3,2,4,4,3.33,3,4,4,3,3.5,4,4,5,5,4,4.4,3,4,4,4,3.75,3,3,3,3,3,3.71,2,2,2,1,2,1,1,1,1,1,1.4
87,5,5,5,5,5,4,4,4,5,4.25,4,5,5,4,5,4.6,4,4,5,5,5,4.6,4.61,5,5,1,3,1,1,5,5,3.25,2,3,1,2,4,3,2.5,2,2,4,2,2.5,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2.24,1,2,4,2,4,5,1,1,7,1,2.8
88,4,4,4,4,4,3,4,4,4,3.75,4,3,3,4,4,3.6,4,4,4,4,4,4,3.83,5,5,5,3,3,3,3,3,3.75,2,3,2,3,4,4,3,2,2,3,2,2.25,4,4,4,4,4,4,2,2,2,2,2,3,2,2,3,2.5,2.76,2,2,2,1,2,1,1,1,2,1,1.5
89,3,2,2,2,2.25,4,4,5,5,4.5,4,4,4,5,5,4.4,5,5,5,5,5,5,4.11,4,4,4,4,4,4,5,5,4.25,4,3,4,4,5,5,4.17,4,4,5,4,4.25,5,3,5,5,5,4.6,4,3,4,3,3.5,4,2,1,3,2.5,3.76,2,1,5,5,1,1,1,2,6,1,2.5
90,5,5,5,5,5,4,4,5,5,4.5,4,4,4,4,4,4,4,4,4,5,5,4.4,4.44,5,5,3,3,3,3,5,5,4,4,3,3,4,4,4,3.67,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3.5,3.88,2,2,3,3,2,3,3,3,7,1,2.9
91,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3.6,3.61,5,5,5,5,1,5,5,5,4.5,4,3,5,3,4,3,3.67,4,3,3,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3.25,3.71,2,1,4,3,2,2,1,1,10,5,3.1
92,2,2,2,2,2,5,5,5,5,5,4,4,4,5,5,4.4,5,5,5,5,2,4.4,4,4,4,4,4,2,2,5,5,3.75,4,2,3,4,4,4,3.5,4,4,5,5,4.5,4,4,5,5,5,4.6,4,4,5,5,4.5,4,4,2,2,3,4.18,2,2,4,3,3,2,1,1,5,4,2.7
93,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,3.6,5,5,4,4,4,4.4,4.44,5,5,4,4,3,4,4,5,4.25,4,3,4,3,4,4,3.67,4,4,5,4,4.25,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4.35,2,1,3,5,2,1,1,2,2,1,2
94,3,3,4,3,3.25,3,4,5,3,3.75,4,4,3,3,4,3.6,4,3,3,4,4,3.6,3.56,4,4,1,4,4,4,5,4,3.75,4,3,3,4,3,4,3.5,4,4,4,3,3.75,4,4,3,4,4,3.8,4,3,3,4,3.5,4,4,3,4,3.75,3.71,2,1,5,5,1,3,1,2,1,2,2.3
95,4,4,5,5,4.5,5,5,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4.4,4.44,4,4,5,5,5,5,4,4,4.5,5,4,4,4,5,5,4.5,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,4.25,4,4,4,4,4,4.35,1,2,3,3,3,4,1,1,8,1,2.7
96,2,3,3,4,3,3,4,4,4,3.75,5,4,4,5,4,4.4,4,4,5,4,3,4,3.83,4,4,4,3,4,4,5,4,4,3,4,3,4,4,3,3.5,4,4,3,3,3.5,3,3,4,4,3,3.4,4,4,3,3,3.5,4,4,4,4,4,3.59,2,1,5,3,1,3,1,2,3,1,2.2
97,4,4,4,4,4,3,3,5,5,4,3,3,3,4,4,3.4,3,3,3,4,4,3.4,3.67,4,4,4,2,2,2,4,4,3.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3.25,4,4,4,3,3.75,3.76,2,1,4,6,1,3,2,3,1,2,2.5
98,4,5,5,5,4.75,4,3,4,4,3.75,4,3,3,4,3,3.4,4,4,3,3,3,3.4,3.78,4,4,3,3,3,3,3,3,3.25,4,4,3,3,2,2,3,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3.82,2,1,5,3,1,3,2,3,1,2,2.3
99,4,3,4,5,4,4,3,4,5,4,4,4,4,3,3,3.6,4,4,3,3,5,3.8,3.83,4,4,5,4,5,4,3,4,4.13,3,3,3,4,4,3,3.33,3,4,4,4,3.75,4,4,3,3,5,3.8,4,4,4,5,4.25,4,4,4,3,3.75,3.88,1,1,5,4,2,5,1,1,3,1,2.4
100,5,4,5,3,4.25,5,4,5,5,4.75,3,4,4,4,5,4,5,4,5,4,4,4.4,4.33,5,5,5,4,4,1,5,5,4.25,3,3,1,3,4,5,3.17,5,4,4,5,4.5,4,5,4,4,5,4.4,3,4,4,5,4,3,3,2,4,3,4,2,2,3,3,1,2,1,1,7,2,2.4
101,4,4,4,4,4,3,4,4,5,4,3,3,3,4,4,3.4,3,4,4,4,4,3.8,3.78,4,4,5,4,3,4,4,4,4,4,4,3,5,4,5,4.17,4,4,5,5,4.5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,4.18,2,2,3,3,3,3,1,1,2,1,2.1
102,3,5,5,5,4.5,3,4,5,5,4.25,5,5,3,5,5,4.6,4,5,4,5,5,4.6,4.5,5,4,4,4,3,3,3,5,3.88,5,5,2,3,5,5,4.17,3,3,3,3,3,3,4,3,4,3,3.4,4,4,4,4,4,3,3,3,3,3,3.35,2,2,3,7,4,5,1,1,9,1,3.5
103,4,4,4,4,4,3,3,4,4,3.5,5,3,3,4,5,4,4,4,4,4,4,4,3.89,5,5,3,5,5,5,5,5,4.75,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3.25,3.35,2,2,3,3,1,3,1,1,2,1,1.9
104,4,4,4,1,3.25,4,5,5,5,4.75,4,1,4,4,4,3.4,2,4,4,4,4,3.6,3.72,5,5,5,5,1,5,5,5,4.5,2,2,1,2,1,2,1.67,2,2,2,4,2.5,4,4,4,4,4,4,2,2,4,4,3,2,2,2,2,2,2.94,2,2,1,1,1,1,1,1,2,1,1.3
105,3,4,4,4,3.75,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3.39,4,4,4,3,3,3,4,4,3.63,4,4,4,4,3,3,3.67,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3.47,2,2,1,1,1,2,1,1,9,1,2.1
106,5,5,5,5,5,3,3,4,5,3.75,4,3,3,3,4,3.4,5,5,5,5,4,4.8,4.22,5,5,5,5,5,5,5,5,5,5,4,2,3,4,4,3.67,4,3,4,4,3.75,3,4,4,2,3,3.2,3,3,3,3,3,2,2,2,2,2,3,2,2,3,3,3,3,1,1,2,2,2.2
107,2,2,2,2,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4.11,5,5,3,3,3,3,5,5,4,2,2,2,2,4,2,2.33,2,2,2,2,2,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2.82,2,2,3,7,3,4,1,1,2,1,2.6
108,4,4,5,5,4.5,4,5,5,4,4.5,4,3,4,4,4,3.8,4,5,4,4,5,4.4,4.28,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,3.83,3,3,4,3,3.25,4,4,4,4,4,4,3,3,3,4,3.25,2,2,2,2,2,3.18,2,1,7,5,1,1,1,1,2,2,2.3
109,4,5,5,5,4.75,4,4,5,5,4.5,3,3,4,5,4,3.8,3,3,4,4,4,3.6,4.11,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4.33,4,3,4,4,3.75,3,4,4,5,5,4.2,4,5,5,5,4.75,3,3,4,4,3.5,4.06,1,2,2,3,3,3,1,2,7,1,2.5
110,3,3,4,3,3.25,5,3,5,4,4.25,5,3,3,4,3,3.6,5,3,5,5,5,4.6,3.94,5,5,5,5,5,1,5,5,4.5,5,5,3,1,4,3,3.5,3,3,3,5,3.5,3,3,3,3,3,3,5,5,5,5,5,3,4,3,3,3.25,3.65,1,2,2,4,1,9,1,1,2,1,2.4
111,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3.72,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,3.8,3,3,3,3,3,4,3,3,4,3.5,3.35,1,1,4,3,3,3,1,1,10,2,2.9
112,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3.72,5,5,1,5,5,5,5,5,4.5,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3.6,3,3,4,4,3.5,3,3,3,3,3,3.29,2,2,3,3,3,3,1,1,2,2,2.2
113,4,4,4,4,4,5,5,5,5,5,4,4,4,4,5,4.2,4,4,4,4,5,4.2,4.33,1,2,5,3,3,4,1,1,2.5,2,2,3,3,4,3,2.83,2,3,3,3,2.75,4,4,4,3,3,3.6,2,2,2,2,2,2,2,2,2,2,2.65,2,2,3,3,3,5,1,1,9,1,3
114,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.78,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,3,2,3,1,1,10,1,2.7
115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,2,3,1,1,10,2,2.8
116,4,4,3,3,3.5,4,4,4,4,4,2,2,2,2,2,2,3,3,3,3,3,3,3.06,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,3,2,3,2,2,2.4
117,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4.72,5,5,5,4,4,4,4,4,4.38,4,4,4,4,5,5,4.33,5,5,5,5,5,4,4,4,5,5,4.4,4,4,4,4,4,4,4,4,4,4,4.35,2,2,3,3,4,3,2,3,2,2,2.6
118,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4.22,5,5,5,5,4,4,5,5,4.75,4,4,4,4,5,5,4.33,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.24,2,2,2,3,3,3,2,3,2,2,2.4
119,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.78,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.24,1,1,4,3,3,3,1,1,1,1,1.9
120,4,4,4,3,3.75,4,5,4,3,4,4,4,4,4,5,4.2,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3.88,4,3,3,4,4,4,3.67,3,4,4,4,3.75,3,3,4,3,3,3.2,3,3,3,3,3,3,3,4,3,3.25,3.29,1,2,3,3,3,3,1,1,2,1,2
121,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3.8,4.17,4,4,4,4,3,4,5,5,4.13,4,3,4,4,4,4,3.83,4,4,4,4,4,5,5,5,4,4,4.6,4,4,4,4,4,3,3,3,3,3,3.94,1,2,3,3,2,3,1,1,10,1,2.7
122,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3.5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4.17,2,2,3,2,2.25,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.06,1,1,5,3,3,3,1,1,1,1,2
123,3,3,3,5,3.5,5,5,5,5,5,3,3,3,3,3,3,3,3,5,4,5,4,3.83,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4.67,3,5,4,4,4,3,5,5,5,5,4.6,4,4,4,4,4,4,4,4,4,4,4.18,2,2,1,1,1,1,1,1,1,1,1.2
124,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4.72,5,5,4,4,5,4,5,5,4.63,4,5,5,5,5,5,4.83,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4.76,1,2,1,1,1,2,1,1,1,1,1.2
125,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,4.22,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4.24,2,2,1,1,1,3,1,2,4,1,1.8
126,4,4,5,4,4.25,4,5,5,4,4.5,3,3,3,5,5,3.8,4,5,5,4,5,4.6,4.28,5,5,4,4,4,5,4,5,4.5,5,4,3,3,4,4,3.83,4,3,5,4,4,3,4,3,5,3,3.6,4,4,3,5,4,4,3,3,3,3.25,3.71,1,2,2,3,2,3,1,2,7,1,2.4
127,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3.44,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,3.33,2,2,2,2,2,3,4,3,3,4,3.4,3,3,3,3,3,2,2,2,2,2,2.65,2,2,1,1,1,2,1,1,7,1,1.9
128,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4.22,5,5,5,5,1,1,5,5,4,4,4,2,2,4,4,3.33,4,2,2,2,2.5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,3,3.41,2,2,1,1,1,1,1,1,2,1,1.3
129,5,5,5,5,5,4,4,4,5,4.25,4,4,4,4,4,4,4,4,5,5,5,4.6,4.44,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,4,3,4,4,4,5,5,4.4,3,3,3,3,3,3,3,3,3,3,3.41,2,2,3,3,2,3,1,1,8,1,2.6
130,5,5,5,5,5,3,4,5,5,4.25,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4.13,4,4,2,2,3,3,3,2,2,4,4,3,4,4,4,4,4,4,5,5,5,5,5,3,3,4,4,3.5,3.88,1,2,4,3,4,4,1,1,9,1,3
131,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3.44,5,5,3,3,3,3,4,4,3.75,4,3,4,4,4,4,3.83,3,3,3,3,3,3,4,4,4,4,3.8,3,3,3,4,3.25,3,3,3,3,3,3.29,2,2,4,3,3,5,1,1,2,1,2.4
132,3,3,3,2,2.75,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,4.06,5,5,3,3,1,3,5,5,3.75,3,3,2,3,3,3,2.83,2,2,2,2,2,3,5,4,3,3,3.6,2,2,2,3,2.25,1,1,1,1,1,2.29,1,2,3,3,3,3,1,1,10,5,3.2
133,3,3,4,4,3.5,3,4,4,4,3.75,3,3,3,3,3,3,4,4,4,4,4,4,3.56,5,5,5,5,5,5,5,5,5,4,3,4,3,3,3,3.33,2,4,3,4,3.25,4,4,4,4,3,3.8,3,3,3,4,3.25,4,2,3,3,3,3.35,2,2,7,3,3,5,1,1,10,2,3.6
134,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3.6,4,4,4,4,4,4,3.89,5,5,5,5,5,5,5,5,5,4,4,2,2,3,3,3,2,2,4,4,3,4,4,4,4,4,4,5,5,5,5,5,3,3,4,4,3.5,3.88,2,1,4,7,4,5,1,1,2,2,2.9
135,4,4,5,4,4.25,4,4,5,5,4.5,4,4,4,4,4,4,5,5,4,5,5,4.8,4.39,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4.33,4,4,4,4,4,4,4,4,5,4,4.2,4,4,4,4,4,4,4,4,4,4,4.06,2,2,4,3,3,5,1,2,6,2,3
136,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,3.8,4,4,4,4,4,4,4.39,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.24,2,2,2,3,3,3,1,1,7,2,2.6
137,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3.4,4,4,4,4,4,4,3.83,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4.17,4,4,4,5,4.25,5,4,4,5,4,4.4,5,4,4,5,4.5,4,4,4,4,4,4.29,2,1,3,3,3,3,2,2,2,2,2.3
138,3,3,3,3,3,4,4,3,4,3.75,4,3,3,3,3,3.2,5,4,5,3,4,4.2,3.56,4,4,3,4,4,3,4,4,3.75,5,4,5,4,4,4,4.33,4,4,4,3,3.75,5,4,4,3,4,4,4,3,4,4,3.75,4,4,4,4,4,3.88,1,2,2,3,2,3,1,1,10,1,2.6
139,4,4,4,4,4,3,3,4,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,3.89,4,4,5,5,5,5,5,5,4.75,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.24,2,2,3,3,2,1,1,1,7,1,2.3
140,4,4,4,4,4,5,5,4,4,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4.11,5,4,5,5,5,5,5,5,4.88,4,4,4,4,4,4,4,4,5,4,4,4.25,4,3,3,3,3,3.2,4,4,4,4,4,4,4,4,4,4,3.82,2,1,1,3,2,3,1,1,2,2,1.8
141,4,4,4,3,3.75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.94,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4.17,5,5,5,5,5,4,4,5,5,5,4.6,4,4,4,4,4,4,4,4,4,4,4.41,2,2,2,3,3,3,2,2,2,2,2.3
142,4,4,4,4,4,5,5,5,5,5,4,4,4,5,5,4.4,5,5,5,5,5,5,4.61,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4.17,5,5,5,5,5,4,4,5,5,5,4.6,4,4,4,4,4,4,4,4,4,4,4.41,2,2,2,3,3,3,1,1,2,2,2.1
143,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,3.72,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4.17,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4.75,4,4,4,4,4,4.18,2,1,4,3,3,3,1,2,2,2,2.3
144,4,4,5,4,4.25,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4.28,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4.17,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3.71,1,2,2,3,3,3,1,1,10,1,2.7
145,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,3.4,4,4,4,4,4,4,3.83,5,5,44,3,5,4,4,4,9.25,5,3,4,3,4,3,3.67,3,4,5,4,4,3,3,4,5,4,3.8,4,3,4,4,3.75,4,3,4,4,3.75,3.82,2,2,1,1,1,1,1,1,7,1,1.8
146,5,5,5,5,5,3,3,5,5,4,3,3,3,5,5,3.8,5,5,5,5,5,5,4.44,5,5,5,5,5,5,5,5,5,3,3,2,3,3,5,3.17,2,2,2,2,2,4,3,2,2,2,2.6,3,3,3,3,3,2,2,2,2,2,2.41,1,2,1,1,1,1,1,1,9,1,1.9
147,5,5,5,5,5,4,4,5,4,4.25,3,3,3,3,3,3,4,4,3,4,4,3.8,3.94,4,4,4,4,5,5,5,5,4.5,4,5,4,4,4,4,4.17,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3.76,2,2,1,1,1,1,1,1,7,1,1.8
148,4,4,4,4,4,5,5,5,5,5,3,3,3,4,4,3.4,4,4,4,4,4,4,4.06,4,4,4,4,3,4,5,5,4.13,4,3,4,4,5,5,4.17,5,5,5,5,5,3,4,4,4,4,3.8,4,3,4,4,3.75,3,3,3,3,3,3.88,2,2,1,1,1,1,1,1,9,1,2
149,3,4,4,4,3.75,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3.2,3.22,5,5,5,5,5,5,5,5,5,2,2,3,3,4,3,2.83,3,3,3,3,3,3,2,3,3,4,3,3,3,4,3,3.25,3,3,3,3,3,3.06,2,2,1,1,1,1,1,1,10,5,2.5
150,3,4,4,4,3.75,5,5,3,4,4.25,4,3,4,4,5,4,4,4,3,5,4,4,4,5,5,4,5,5,3,5,5,4.63,4,3,4,5,3,4,3.83,3,4,4,4,3.75,3,4,4,5,5,4.2,4,4,5,5,4.5,4,5,5,3,4.25,4.18,2,1,3,5,2,2,2,4,1,2,2.4
151,4,3,5,4,4,3,4,5,4,4,4,4,3,2,4,3.4,4,5,3,5,4,4.2,3.89,5,5,5,5,5,1,1,5,4,3,4,3,2,3,2,2.83,4,4,3,3,3.5,1,3,4,5,4,3.4,4,4,3,2,3.25,1,3,3,4,2.75,3.24,1,2,1,1,1,1,1,1,1,1,1.1
152,5,5,5,5,5,3,3,4,4,3.5,2,3,3,3,3,2.8,3,3,3,3,3,3,3.5,5,5,5,1,1,1,1,1,2.5,3,3,1,3,3,3,2.67,2,2,4,2,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.12,2,2,1,1,1,1,1,1,3,1,1.4
153,3,4,2,5,3.5,3,3,4,5,3.75,5,5,5,5,5,5,3,4,3,4,5,3.8,4.06,5,5,5,5,5,5,5,5,5,4,1,3,3,5,5,3.5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,2.53,1,2,1,1,1,1,1,1,7,1,1.7
154,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4.22,5,5,3,3,3,3,5,5,4,3,3,3,2,3,3,2.83,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3.29,2,1,4,3,3,3,1,1,8,1,2.7
155,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,4,4,3.8,3.67,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,3.33,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3.76,2,2,4,3,1,3,1,1,10,5,3.2
156,2,2,4,4,3,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4.28,5,5,5,5,5,1,1,1,3.5,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2.59,2,1,7,3,2,5,1,1,5,4,3.1
157,4,4,4,4,4,3,4,4,5,4,3,3,3,3,2,2.8,3,4,4,4,4,3.8,3.61,4,4,4,4,3,4,4,4,3.88,4,3,4,4,4,4,3.83,4,4,4,4,4,4,4,3,3,3,3.4,2,3,2,2,2.25,2,2,2,4,2.5,3.06,2,1,7,3,1,5,2,2,8,1,3.2
158,3,3,3,4,3.25,4,4,4,4,4,3,3,3,4,4,3.4,4,4,3,3,3,3.4,3.5,1,1,1,1,1,1,1,1,1,3,1,3,3,3,3,2.67,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,2,1,7,3,1,4,2,2,10,1,3.3
159,4,4,4,4,4,2,2,4,5,3.25,4,1,1,1,1,1.6,4,4,4,4,4,4,3.17,5,5,4,4,3,4,5,5,4.38,2,2,2,1,2,2,1.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,5,1,1,9,1,3.1
160,3,3,3,3,3,4,4,4,4,4,3,3,3,4,4,3.4,4,4,4,4,4,4,3.61,4,4,4,4,3,4,5,5,4.13,4,3,4,4,4,4,3.83,5,5,5,5,5,3,3,4,4,4,3.6,4,3,3,3,3.25,3,3,3,3,3,3.71,1,1,7,3,1,3,1,1,2,1,2.1
161,4,4,4,4,4,4,5,5,5,4.75,4,3,3,4,4,3.6,5,4,4,4,4,4.2,4.11,5,5,5,5,5,5,5,5,5,4,4,3,3,3,4,3.5,4,4,4,3,3.75,4,4,4,4,4,4,4,4,4,3,3.75,4,4,3,4,3.75,3.82,2,1,7,2,8,8,2,3,1,2,3.6
162,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,5,5,5,5,5,5,4.72,5,5,5,5,5,5,5,5,5,2,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3.53,2,2,6,3,1,4,1,1,5,4,2.9
163,5,5,5,5,5,5,5,5,5,5,2,2,2,3,4,2.6,5,5,5,5,5,5,4.33,5,5,5,5,5,5,5,5,5,5,3,4,2,5,4,3.83,4,4,3,4,3.75,4,5,5,3,5,4.4,3,2,2,2,2.25,2,2,2,2,2,3.18,2,1,7,3,1,8,2,2,1,2,2.9
164,4,4,4,4,4,2,2,4,4,3,4,3,4,5,5,4.2,4,4,4,4,5,4.2,3.89,3,3,4,4,1,3,5,5,3.5,3,2,2,2,4,4,2.83,3,3,4,4,3.5,4,4,4,4,4,4,4,3,3,4,3.5,3,2,2,2,2.25,3.35,2,1,4,7,3,6,1,1,10,2,3.7
165,5,5,5,5,5,4,3,5,5,4.25,2,2,3,3,4,2.8,4,3,3,4,5,3.8,3.89,4,5,5,3,3,3,3,3,3.63,3,4,3,2,4,3,3.17,2,3,3,3,2.75,4,4,4,5,4,4.2,3,3,2,3,2.75,4,3,2,3,3,3.24,2,1,4,3,2,3,1,1,4,2,2.3
166,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,4.44,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4.17,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3.25,3,3,3,3,3,3.82,1,2,1,1,1,1,1,1,10,5,2.4
167,3,3,3,3,3,4,4,4,5,4.25,3,3,3,3,3,3,4,3,2,3,4,3.2,3.33,3,3,3,3,2,2,3,4,2.88,1,2,2,1,2,2,1.67,2,2,2,2,2,1,1,1,1,2,1.2,1,1,2,2,1.5,1,1,1,1,1,1.41,1,2,1,1,1,1,1,1,2,1,1.2
168,3,3,5,5,4,4,3,4,5,4,4,4,4,4,4,4,4,5,5,5,5,4.8,4.22,5,5,5,5,5,5,5,4,4.88,5,4,4,4,4,4,4.17,2,3,2,1,2,4,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,3.53,1,2,1,1,1,2,1,1,3,1,1.4
